team_a_name,team_b_name,team_a_wins,team_a_losses,team_b_wins,team_b_losses
iron_crown_specs,jungle_planet,1,2,2,1
iron_crown_specs,lokix_voltturn,3,0,0,3
iron_crown_specs,manaphy,2,1,1,2
jungle_planet,lokix_voltturn,2,1,1,2
jungle_planet,manaphy,2,1,1,2
lokix_voltturn,manaphy,1,2,2,1
iron_crown_specs,jungle_planet,0,3,3,0
iron_crown_specs,lokix_voltturn,1,2,2,1
iron_crown_specs,manaphy,2,1,1,2
iron_crown_specs,mexican_webs,2,1,1,2
iron_crown_specs,mu_fish,1,2,2,1
iron_crown_specs,nu_balance,2,1,1,2
iron_crown_specs,nu_ho,2,1,1,2
jungle_planet,lokix_voltturn,0,3,3,0
jungle_planet,manaphy,1,2,2,1
jungle_planet,mexican_webs,1,2,2,1
jungle_planet,mu_fish,0,3,3,0
jungle_planet,nu_balance,2,1,1,2
jungle_planet,nu_ho,2,1,1,2
lokix_voltturn,manaphy,1,2,2,1
lokix_voltturn,mexican_webs,2,1,1,2
lokix_voltturn,mu_fish,0,3,3,0
lokix_voltturn,nu_balance,2,1,1,2
lokix_voltturn,nu_ho,2,1,1,2
manaphy,mexican_webs,2,1,1,2
manaphy,mu_fish,3,0,0,3
manaphy,nu_balance,2,1,1,2
manaphy,nu_ho,3,0,0,3
mexican_webs,mu_fish,3,0,0,3
mexican_webs,nu_balance,3,0,0,3
mexican_webs,nu_ho,3,0,0,3
mu_fish,nu_balance,0,3,3,0
mu_fish,nu_ho,2,1,1,2
nu_balance,nu_ho,3,0,0,3
iron_crown_specs,jungle_planet,1,2,2,1
iron_crown_specs,lokix_voltturn,3,0,0,3
iron_crown_specs,manaphy,3,0,0,3
iron_crown_specs,mexican_webs,0,3,3,0
iron_crown_specs,mu_fish,2,1,1,2
iron_crown_specs,nu_balance,3,0,0,3
iron_crown_specs,nu_ho,3,0,0,3
iron_crown_specs,nu_offense,2,1,1,2
iron_crown_specs,nu_stall,2,1,1,2
iron_crown_specs,pu_team,2,1,1,2
iron_crown_specs,quagsire_stall,0,3,3,0
jungle_planet,lokix_voltturn,0,3,3,0
jungle_planet,manaphy,0,3,3,0
jungle_planet,mexican_webs,2,1,1,2
jungle_planet,mu_fish,1,2,2,1
jungle_planet,nu_balance,3,0,0,3
jungle_planet,nu_ho,1,2,2,1
jungle_planet,nu_offense,3,0,0,3
jungle_planet,nu_stall,3,0,0,3
jungle_planet,pu_team,2,1,1,2
jungle_planet,quagsire_stall,2,1,1,2
lokix_voltturn,manaphy,2,1,1,2
lokix_voltturn,mexican_webs,0,3,3,0
lokix_voltturn,mu_fish,3,0,0,3
lokix_voltturn,nu_balance,2,1,1,2
lokix_voltturn,nu_ho,2,1,1,2
lokix_voltturn,nu_offense,2,1,1,2
lokix_voltturn,nu_stall,3,0,0,3
lokix_voltturn,pu_team,1,2,2,1
lokix_voltturn,quagsire_stall,0,3,3,0
manaphy,mexican_webs,1,2,2,1
manaphy,mu_fish,2,1,1,2
manaphy,nu_balance,2,1,1,2
manaphy,nu_ho,3,0,0,3
manaphy,nu_offense,3,0,0,3
manaphy,nu_stall,3,0,0,3
manaphy,pu_team,1,2,2,1
manaphy,quagsire_stall,3,0,0,3
mexican_webs,mu_fish,2,1,1,2
mexican_webs,nu_balance,3,0,0,3
mexican_webs,nu_ho,3,0,0,3
mexican_webs,nu_offense,3,0,0,3
mexican_webs,nu_stall,2,1,1,2
mexican_webs,pu_team,3,0,0,3
mexican_webs,quagsire_stall,3,0,0,3
mu_fish,nu_balance,2,1,1,2
mu_fish,nu_ho,2,1,1,2
mu_fish,nu_offense,2,1,1,2
mu_fish,nu_stall,1,2,2,1
mu_fish,pu_team,2,1,1,2
mu_fish,quagsire_stall,3,0,0,3
nu_balance,nu_ho,2,1,1,2
nu_balance,nu_offense,2,1,1,2
nu_balance,nu_stall,3,0,0,3
nu_balance,pu_team,3,0,0,3
nu_balance,quagsire_stall,1,2,2,1
nu_ho,nu_offense,2,1,1,2
nu_ho,nu_stall,3,0,0,3
nu_ho,pu_team,1,2,2,1
nu_ho,quagsire_stall,3,0,0,3
nu_offense,nu_stall,3,0,0,3
nu_offense,pu_team,0,3,3,0
nu_offense,quagsire_stall,3,0,0,3
nu_stall,pu_team,0,3,3,0
nu_stall,quagsire_stall,0,3,3,0
pu_team,quagsire_stall,2,1,1,2
iron_crown_specs,sand,0,3,3,0
jungle_planet,sand,1,2,2,1
lokix_voltturn,sand,0,3,3,0
manaphy,sand,2,1,1,2
mexican_webs,sand,3,0,0,3
mu_fish,sand,0,3,3,0
nu_balance,sand,1,2,2,1
nu_ho,sand,0,3,3,0
nu_offense,sand,0,3,3,0
nu_stall,sand,0,3,3,0
pu_team,sand,3,0,0,3
quagsire_stall,sand,0,3,3,0
iron_crown_specs,scarf_latios,2,1,1,2
iron_crown_specs,team_0,2,1,1,2
iron_crown_specs,team_1,1,2,2,1
jungle_planet,scarf_latios,0,3,3,0
jungle_planet,team_0,0,3,3,0
jungle_planet,team_1,3,0,0,3
lokix_voltturn,scarf_latios,1,2,2,1
lokix_voltturn,team_0,2,1,1,2
lokix_voltturn,team_1,2,1,1,2
manaphy,scarf_latios,2,1,1,2
manaphy,team_0,3,0,0,3
manaphy,team_1,0,3,3,0
